"COUNTRY.UN_CODE","SPECIES.ALPHA_3_CODE","AREA.CODE","ENVIRONMENT.ALPHA_2_CODE","MEASURE","PERIOD","VALUE","STATUS"
"008","FCG","05","IN","V_USD_1000",2006,18.36,""
"008","BIC","05","IN","V_USD_1000",2006,0,""
"008","SBG","37","MA","V_USD_1000",2006,1509.6,""
"008","TRR","05","IN","V_USD_1000",2006,996.03,""
"008","MSM","37","MA","V_USD_1000",2006,971.04,""
"008","TRR","05","IN","V_USD_1000",2007,1102.439,""
"008","MSM","37","MA","V_USD_1000",2007,1507.609,""
"008","SVC","05","IN","V_USD_1000",2007,11.174,""
"008","FCP","05","IN","V_USD_1000",2007,38.799,""
"008","SBG","37","MA","V_USD_1000",2007,2005.342,""
"008","BSS","37","MA","V_USD_1000",2007,512.144,"E"
"008","BIC","05","IN","V_USD_1000",2007,0,""
"008","FCG","05","IN","V_USD_1000",2007,19.399,""
"008","FCG","05","IN","V_USD_1000",2008,335.476,""
"008","SVC","05","IN","V_USD_1000",2008,575.102,""
"008","TRR","05","IN","V_USD_1000",2008,1521.625,""
"008","SBG","37","MA","V_USD_1000",2008,2260.272,""
"008","BSS","37","MA","V_USD_1000",2008,1105.874,"E"
"008","BIC","05","IN","V_USD_1000",2008,0,""
"008","MSM","37","MA","V_USD_1000",2008,796.756,""
"008","FCP","05","IN","V_USD_1000",2008,354.646,""
"008","BIC","05","IN","V_USD_1000",2009,0,""
"008","TRR","05","IN","V_USD_1000",2009,1581,""
"008","FCP","05","IN","V_USD_1000",2009,25.296,""
"008","SBG","37","MA","V_USD_1000",2009,2339.88,""
"008","FCG","05","IN","V_USD_1000",2009,295.12,""
"008","BSS","37","MA","V_USD_1000",2009,996.03,"E"
"008","MSM","37","MA","V_USD_1000",2009,1054,""
"008","SVC","05","IN","V_USD_1000",2009,375.224,""
"008","FCP","05","IN","V_USD_1000",2010,0,""
"008","FCG","05","IN","V_USD_1000",2010,0,""
"008","TRR","05","IN","V_USD_1000",2010,2405.311,""
"008","SBG","37","MA","V_USD_1000",2010,2695.872,""
"008","MSM","37","MA","V_USD_1000",2010,1085.276,""
"008","SVC","05","IN","V_USD_1000",2010,0,""
"008","BIC","05","IN","V_USD_1000",2010,0,""
"008","BSS","37","MA","V_USD_1000",2010,909.208,"E"
"008","KUP","37","BW","V_USD_1000",2010,130.849,""
"008","MSM","37","MA","V_USD_1000",2011,901.92,""
"008","FCP","05","IN","V_USD_1000",2011,0,""
"008","FCG","05","IN","V_USD_1000",2011,0,""
"008","BIC","05","IN","V_USD_1000",2011,0,""
"008","TRR","05","IN","V_USD_1000",2011,2477.803,""
"008","SBG","37","MA","V_USD_1000",2011,2415.858,""
"008","SVC","05","IN","V_USD_1000",2011,0,""
"008","BSS","37","MA","V_USD_1000",2011,1179.434,"E"
"008","BIC","05","IN","V_USD_1000",2012,0,""
"008","BSS","37","MA","V_USD_1000",2012,2218.439,""
"008","SVC","05","IN","V_USD_1000",2012,0,""
"008","FCP","05","IN","V_USD_1000",2012,0,""
"008","FCG","05","IN","V_USD_1000",2012,0,""
"008","SBG","37","MA","V_USD_1000",2012,8873.757,""
"008","MSM","37","MA","V_USD_1000",2012,702.506,"E"
"008","TRR","05","IN","V_USD_1000",2012,2310.874,""
"008","FCG","05","IN","V_USD_1000",2013,0,""
"008","BIC","05","IN","V_USD_1000",2013,0,""
"008","TRR","05","IN","V_USD_1000",2013,2365.875,""
"008","SVC","05","IN","V_USD_1000",2013,0,""
"008","SBG","37","MA","V_USD_1000",2013,9084.959,""
"008","FCP","05","IN","V_USD_1000",2013,0,""
"008","BSS","37","MA","V_USD_1000",2013,3406.859,""
"008","MSM","37","MA","V_USD_1000",2013,757.08,"E"
"008","FCP","05","IN","V_USD_1000",2014,0,""
"008","TRR","05","IN","V_USD_1000",2014,2370.118,""
"008","MSM","37","MA","V_USD_1000",2014,910.125,"E"
"008","FCG","05","IN","V_USD_1000",2014,0,""
"008","BIC","05","IN","V_USD_1000",2014,0,""
"008","SBG","37","MA","V_USD_1000",2014,9101.251,""
"008","SVC","05","IN","V_USD_1000",2014,0,""
"008","BSS","37","MA","V_USD_1000",2014,3981.797,""
"008","FCG","05","IN","V_USD_1000",2015,0,""
"008","BIC","05","IN","V_USD_1000",2015,0,""
"008","TRR","05","IN","V_USD_1000",2015,1984.731,""
"008","FCP","05","IN","V_USD_1000",2015,0,""
"008","SVC","05","IN","V_USD_1000",2015,0,""
"008","BSS","37","MA","V_USD_1000",2015,3334.348,""
"008","SBG","37","MA","V_USD_1000",2015,8574.037,""
"008","MSM","37","MA","V_USD_1000",2015,275.084,""
"008","BIC","05","IN","V_USD_1000",2016,0,""
"008","MSM","37","MA","V_USD_1000",2016,817.609,""
"008","FCG","05","IN","V_USD_1000",2016,0,""
"008","BSS","37","MA","V_USD_1000",2016,3866.524,""
"008","SBG","37","MA","V_USD_1000",2016,9182.995,""
"008","FCP","05","IN","V_USD_1000",2016,0,""
"008","MUL","05","IN","V_USD_1000",2016,0,""
"008","SVC","05","IN","V_USD_1000",2016,0,""
"008","TRR","05","IN","V_USD_1000",2016,2416.578,""
"008","MUL","05","IN","V_USD_1000",2017,0,""
"008","FCP","05","IN","V_USD_1000",2017,0,""
"008","FCG","05","IN","V_USD_1000",2017,0,""
"008","SVC","05","IN","V_USD_1000",2017,0,""
"008","BIC","05","IN","V_USD_1000",2017,0,""
"008","MSM","37","MA","V_USD_1000",2017,252.729,""
"008","TRR","05","IN","V_USD_1000",2017,2518.892,""
"008","BSS","37","MA","V_USD_1000",2017,5037.783,""
"008","SBG","37","MA","V_USD_1000",2017,12090.68,""
"008","SBG","37","MA","V_USD_1000",2018,10649.216,""
"008","BSS","37","MA","V_USD_1000",2018,4630.094,""
"008","TRR","05","IN","V_USD_1000",2018,5995.972,""
"008","MSM","37","MA","V_USD_1000",2018,718.22,""
"008","MSM","37","MA","V_USD_1000",2019,974.958,""
"008","BSS","37","MA","V_USD_1000",2019,4642.659,""
"008","TRR","05","IN","V_USD_1000",2019,5604.418,""
"008","SBG","37","MA","V_USD_1000",2019,11151.486,""
"024","TLP","01","IN","V_USD_1000",2013,243.477,""
"024","TLP","01","IN","V_USD_1000",2014,2482.136,""
"024","TLP","01","IN","V_USD_1000",2015,6536.693,""
"024","TLP","01","IN","V_USD_1000",2016,4389.073,""
"024","CTO","01","IN","V_USD_1000",2016,12.221,""
"024","TLP","01","IN","V_USD_1000",2017,11743.898,""
"024","CTO","01","IN","V_USD_1000",2017,361.629,""
"024","TLP","01","IN","V_USD_1000",2018,8314.622,""
"024","CTO","01","IN","V_USD_1000",2018,0,""
"024","CTO","01","IN","V_USD_1000",2019,111.012,""
"024","TLP","01","IN","V_USD_1000",2019,7803.724,""
"032","APG","03","IN","V_USD_1000",2011,72.99,"E"
"032","MUS","41","MA","V_USD_1000",2011,543.047,"E"
