Average Microplastic,Year,Average of Merge1.Production,MP_Change,Yield_change,Average of distance,CPC_Group_En
0.072,1970,0,0,0,7.685214484253238,"Crustaceans, live, fresh or chilled"
0.22100000000000003,1970,24.40449438202247,0,0,7.777537123101757,"Fish live, fresh or chilled for human consumption"
0.23400000000000004,1970,15663.681818181818,0,0,7.762487664731476,"Molluscs live, fresh or chilled"
0.014,1970,0,0,0,7.779659482615521,"Other aquatic invertebrates, live, fresh or chilled"
0.046,1970,0,0,0,7.766167339992338,Other aquatic plants and animals
,1971,,-1,0,,"Crustaceans, live, fresh or chilled"
,1971,,-1,-1,,"Fish live, fresh or chilled for human consumption"
,1971,,-1,-1,,"Molluscs live, fresh or chilled"
,1971,,-1,0,,"Other aquatic invertebrates, live, fresh or chilled"
,1971,,-1,0,,Other aquatic plants and animals
5.163149999999997,1986,95.14314516129032,0,0,5.766246756449146,"Crustaceans, live, fresh or chilled"
3.4660799999999994,1986,16.311046511627907,0,0,5.895715387685973,"Fish live, fresh or chilled for human consumption"
3.509244,1986,10206.986413043478,0,0,6.105116826034222,"Molluscs live, fresh or chilled"
0.429663,1986,100,0,0,5.739089921604375,Other aquatic plants and animals
9.020061499999988,1987,193.60435643564355,0.7470074470042499,1.0348744631832172,3.617761004814908,"Crustaceans, live, fresh or chilled"
7.794755999999991,1987,25.208063021316033,1.2488678853344388,0.5454595757142604,3.764643209368779,"Fish live, fresh or chilled for human consumption"
7.577209999999987,1987,8508.195514383227,1.1592143493014413,-0.1664341295183239,4.069195087219176,"Molluscs live, fresh or chilled"
0.744354999999999,1987,100,0.7324158701121553,0,3.5778501766321975,Other aquatic plants and animals
,1988,,-1,-1,,"Crustaceans, live, fresh or chilled"
,1988,,-1,-1,,"Fish live, fresh or chilled for human consumption"
,1988,,-1,-1,,"Molluscs live, fresh or chilled"
,1988,,-1,-1,,Other aquatic plants and animals
7.654517666699996,1989,351.6870415647922,0,0,3.0573960318191613,"Crustaceans, live, fresh or chilled"
6.6291258335,1989,346.7475935828877,0,0,3.5459804342979653,"Fish live, fresh or chilled for human consumption"
7.903204166999999,1989,6535.284848484848,0,0,4.058367666641109,"Molluscs live, fresh or chilled"
0.48682249999999994,1989,40,0,0,2.969544797911927,Other aquatic plants and animals
21.394516999999997,1990,585.7377521613832,1.795018305735203,0.6655084860539887,2.7447819438570087,"Crustaceans, live, fresh or chilled"
14.347715000000015,1990,158.35416666666666,1.1643449468849218,-0.5433157443706581,2.9143221724057455,"Fish live, fresh or chilled for human consumption"
13.020451999999999,1990,3357.308370044053,0.6474902741810953,-0.4862797188063781,3.133615649996568,"Molluscs live, fresh or chilled"
2.8499959999999995,1990,70.5,4.854281591339759,0.7625,2.7175647834210936,Other aquatic plants and animals
29.52622199999994,1991,901.6546953977122,0.3800835980545833,0.5393487820626032,3.5429482593835653,"Crustaceans, live, fresh or chilled"
18.304072499999982,1991,219.16470588235293,0.2757482637479183,0.3840160350418289,3.704338067126445,"Fish live, fresh or chilled for human consumption"
19.364539999999995,1991,6455.776150627615,0.48724022791221044,0.9229023488667218,3.873561020349715,"Molluscs live, fresh or chilled"
1.7243604999999966,1991,40,-0.39496037889176094,-0.4326241134751773,3.5205004043066004,Other aquatic plants and animals
49.771546499999985,1992,1282.0893421171374,0.685672704757149,0.4219294244917327,4.437005644393304,"Crustaceans, live, fresh or chilled"
30.510345000000033,1992,443.62645578720344,0.6668610223216672,1.0241692383870467,4.635331005732033,"Fish live, fresh or chilled for human consumption"
28.996406500000067,1992,8126.534097589653,0.49739712381497125,0.2588004769650527,4.872192426650481,"Molluscs live, fresh or chilled"
5.822596999999996,1992,12.5,2.376670365622506,-0.6875,4.408536028539616,Other aquatic plants and animals
45.775604499999965,1993,1100.9715725806452,-0.08028567085011576,-0.14126766644624716,3.43520439803054,"Crustaceans, live, fresh or chilled"
27.27401000000002,1993,236.4544398340249,-0.10607336626315773,-0.4669965310918107,3.661310618987342,"Fish live, fresh or chilled for human consumption"
24.979431500000025,1993,7783.123166637215,-0.13853354552744704,-0.042257981918059594,3.9519710516999056,"Molluscs live, fresh or chilled"
5.376106999999997,1993,30.5,-0.0766822776846825,1.44,3.4039412888793086,Other aquatic plants and animals
20.42155999999998,1994,1282.5771835188798,-0.5538767816818264,0.16495031793832454,4.143802537467059,"Crustaceans, live, fresh or chilled"
