Latitude,Longitude,Average of MicroPlastic,Sample_Date
16.17,-86.29,0,1987-12-29 00:00:00
16.22,-86.29,0,1987-12-29 00:00:00
39.72,-68.86,0.000675,1989-05-25 00:00:00
40.23,-69.71,0.00351,1989-05-25 00:00:00
38.87,-68.88,0,1989-05-26 00:00:00
39.35,-68.48,0.00351,1989-05-26 00:00:00
39.72,-68.86,0.00054,1989-05-26 00:00:00
34.67,-66.21,0.023218,1989-05-29 00:00:00
35.1,-66.71,0.0089095,1989-05-29 00:00:00
32.79,-65.16,0.027538,1989-05-30 00:00:00
33.44,-65.72,0.029158,1989-05-30 00:00:00
34.67,-66.21,0.023758,1989-05-30 00:00:00
32.79,-65.16,0.039957,1989-05-31 00:00:00
32.53,-64.61,0.0218985,1989-06-03 00:00:00
33.25,-64.86,0.0569655,1989-06-04 00:00:00
33.75,-64.93,0.043197,1989-06-04 00:00:00
33.75,-64.93,0,1989-06-05 00:00:00
34.17,-65.2,0.071274,1989-06-05 00:00:00
35.09,-65.58,0.007951999999999999,1989-06-06 00:00:00
35.82,-65.81,0.001963,1989-06-06 00:00:00
35.82,-65.81,0.005399666666666667,1989-06-07 00:00:00
39.12,-66.41,0,1989-06-08 00:00:00
39.12,-66.41,0.0009,1989-06-09 00:00:00
40.5,-67.68,0.001215,1989-06-12 00:00:00
40.52,-67.62,0.00027,1989-06-12 00:00:00
42.21,-65.7,0.0036,1989-06-15 00:00:00
43.44,-65.19,0.000491,1989-06-16 00:00:00
43.48,-65.22,0.00045,1989-06-19 00:00:00
45.28,-60.29,0,1989-07-13 00:00:00
40.83,-70.15,0.020470000000000002,1989-07-16 00:00:00
40.02,-70.38,0.00405,1989-07-17 00:00:00
39.62,-68.67,0.00351,1989-07-19 00:00:00
40.21,-68.1,0.00324,1989-07-20 00:00:00
40.94,-67.32,0.019168499999999998,1989-07-20 00:00:00
41.6,-66.48,0.00432,1989-07-21 00:00:00
42.46,-65.91,0.0037965,1989-07-21 00:00:00
43.12,-64.76,0.0016795,1989-07-22 00:00:00
43.8,-63.19,0.001028,1989-07-22 00:00:00
43.83,-62.39,0,1989-07-23 00:00:00
43.86,-62.37,0,1989-07-23 00:00:00
44.32,-61.97,0.00027,1989-07-23 00:00:00
44.49,-61.11,0.00108,1989-07-24 00:00:00
45.09,-59.8,0.001258,1989-07-24 00:00:00
45.41,-58.64,0,1989-07-25 00:00:00
46.29,-57.62,0.000522,1989-07-25 00:00:00
47.41,-56.17,0,1989-07-27 00:00:00
47.09,-56.57,0.0005645,1989-07-31 00:00:00
44.95,-56.87,0.00054,1989-08-01 00:00:00
46.07,-56.87,0.00135,1989-08-01 00:00:00
43.95,-57.26,0.0032849999999999997,1989-08-02 00:00:00
43.15,-63.38,0.00081,1989-08-11 00:00:00
43.49,-63.42,0.0017995,1989-08-11 00:00:00
42.69,-63.51,0.00486,1989-08-12 00:00:00
42.82,-63.57,0.0020975,1989-08-12 00:00:00
42.91,-65.41,0.00432,1989-08-12 00:00:00
42.78,-65.5,0.011879,1989-08-13 00:00:00
42.91,-65.41,0.023218,1989-08-13 00:00:00
42.82,-65.4,0.00216,1989-08-14 00:00:00
42.16,-65.95,0.024298,1989-08-15 00:00:00
43.09,-67.49,0,1989-08-17 00:00:00
40.3,-69.77,0,1989-10-12 00:00:00
40.93,-70.65,0.0008244999999999999,1989-10-12 00:00:00
39.88,-67.15,0,1989-10-15 00:00:00
37.83,-63.73,0.072354,1989-10-18 00:00:00
36.9,-63.38,0.019168499999999998,1989-10-19 00:00:00
34.7,-61.98,0.00288,1989-10-20 00:00:00
35.7,-61.98,0.074874,1989-10-20 00:00:00
34.87,-57.38,0.005579000000000001,1989-10-23 00:00:00
32.65,-57.2,0.0224275,1989-10-24 00:00:00
22.9,-59.27,0.0060535,1989-10-30 00:00:00
17.8,-64.32,0,1989-11-29 00:00:00
16.47,-63.63,0.00135,1989-12-02 00:00:00
17,-63.72,0.00072,1989-12-02 00:00:00
17.97,-64.61,0.00108,1989-12-02 00:00:00
16.63,-63.5,0.00081,1989-12-03 00:00:00
16.66,-64.37,0.00054,1989-12-03 00:00:00
15.98,-62.68,0.00054,1989-12-04 00:00:00
16.6,-63.07,0.00045,1989-12-04 00:00:00
16.71,-62.51,0.00108,1989-12-04 00:00:00
16.97,-62.68,0.00189,1989-12-04 00:00:00
15.55,-62.17,0.00108,1989-12-05 00:00:00
16.08,-62.2,0.00216,1989-12-05 00:00:00
13.98,-61.7,0,1989-12-06 00:00:00
14.37,-61.84,0.00054,1989-12-06 00:00:00
15.1,-61.98,0,1989-12-06 00:00:00
12.22,-61.77,0.00081,1989-12-08 00:00:00
12.48,-61.47,0,1989-12-10 00:00:00
12.65,-62.57,0.00027,1989-12-13 00:00:00
13.05,-63.12,0,1989-12-13 00:00:00
13.5,-63.35,0.001029,1989-12-14 00:00:00
14.68,-64.43,0,1989-12-14 00:00:00
14.93,-66.75,0.000982,1989-12-15 00:00:00
15.8,-65.3,0,1989-12-15 00:00:00
16.48,-65.9,0.00108,1989-12-15 00:00:00
16.6,-66.1,0.0003375,1989-12-16 00:00:00
17.23,-66.87,0.0018900000000000002,1989-12-16 00:00:00
17.9,-67.82,0,1989-12-17 00:00:00
17.9,-67.62,0,1989-12-17 00:00:00
17.4,-68.78,0,1989-12-18 00:00:00
18.03,-68.42,0,1989-12-18 00:00:00
16.68,-71.35,0,1989-12-22 00:00:00
17.87,-70.4,0.00054,1989-12-22 00:00:00
17.35,-72.5,0,1989-12-23 00:00:00
16.22,-74.47,0,1989-12-24 00:00:00
16.25,-74.98,0.00135,1989-12-24 00:00:00
16.48,-76,0,1989-12-25 00:00:00
16.88,-77.5,0,1989-12-27 00:00:00
17.98,-63.98,0.00108,1990-01-03 00:00:00
26.28,-78.62,0.0054,1990-04-06 00:00:00
25.37,-76,0,1990-04-08 00:00:00
25.37,-76,0,1990-04-09 00:00:00
23.28,-73.57,0.00162,1990-04-10 00:00:00
23.35,-73.32,0.00108,1990-04-11 00:00:00
23.98,-73.02,0.00189,1990-04-11 00:00:00
24.3,-72.7,0.0039815,1990-04-12 00:00:00
24.62,-72.03,0,1990-04-12 00:00:00
24.78,-71.63,0.00324,1990-04-12 00:00:00
22.27,-73.75,0,1990-04-13 00:00:00
24.78,-71.63,0.009719,1990-04-13 00:00:00
24.8,-70.47,0.00108,1990-04-13 00:00:00
24.83,-71.23,0.007386,1990-04-13 00:00:00
22.8,-73.8,0.012419,1990-04-14 00:00:00
24.2,-69.95,0.0041295,1990-04-14 00:00:00
24.8,-70.47,0.010259,1990-04-14 00:00:00
22.86,-73.86,0,1990-04-15 00:00:00
23.6,-70.17,0.005579,1990-04-15 00:00:00
24.08,-70.12,0.00108,1990-04-15 00:00:00
22.93,-69.77,0.008998,1990-04-16 00:00:00
23.17,-73.78,0.00162,1990-04-16 00:00:00
23.47,-69.83,0.00135,1990-04-16 00:00:00
21.75,-69.57,0,1990-04-17 00:00:00
22.83,-69.17,0.0053995,1990-04-17 00:00:00
23.17,-73.78,0.00108,1990-04-17 00:00:00
23.63,-73.75,0,1990-04-17 00:00:00
21.87,-69.53,0.0027,1990-04-18 00:00:00
24.03,-74.04,0,1990-04-18 00:00:00
24.22,-74.4,0.000292,1990-04-23 00:00:00
24.22,-74.4,0.00162,1990-04-24 00:00:00
24.78,-74.37,0.00216,1990-04-24 00:00:00
24.83,-74.42,0.00108,1990-04-24 00:00:00
24.91,-74.4,0,1990-04-24 00:00:00
