Average Microplastic,Year,Average of Merge1.Production,MP_Change,Yield_change,Average of distance,zone
0.3710000000000001,1970,6515.566037735849,0,0,7.779659482615515,27
0.21600000000000005,1970,0,0,0,7.685214484253238,77
,1971,,-1,-1,,27
,1971,,-1,0,,77
0.10791000000000006,1986,908,0,0,9.106537442359091,21
12.460227000000032,1986,3161.137931034483,0,0,5.739089921604348,31
1.3170224999999984,1987,958.6,11.204823463997755,0.05572687224669606,9.50578200965502,21
23.81935999999997,1987,2657,0.9116313049513393,-0.1594798904802941,3.5778501766322552,31
,1988,,-1,-1,,21
,1988,,-1,-1,,31
5.6348826671999905,1989,1496.4375,0,0,6.961895316585607,21
17.0387875,1989,2350.8571428571427,0,0,2.9695447979119303,31
0.3127520000000001,1990,2095.5625,-0.9444971584199093,0.4003675395731529,7.439742119052733,21
51.299928000000016,1990,1134.7222222222222,2.0107733898318783,-0.5173155350294387,2.7175647834211207,31
3.393495999999993,1991,2395.75,9.850437407274748,0.14324912762086553,7.961631311375159,21
65.52569899999986,1991,2225.1315789473683,0.27730586678405483,0.9609482703085743,3.5205004043065866,31
4.4715519999999795,1992,2772,0.31768300301517627,0.1570489408327246,7.595120001010605,21
110.62934299999998,1992,2778.657894736842,0.6883351828112328,0.2487611613742535,4.40853602853962,31
1.2591199999999985,1993,3063.3125,-0.7184154405450268,0.10509108946608947,10.616267865162644,21
102.14603299999992,1993,2460.315789473684,-0.07668227768469671,-0.1145668582901628,3.4039412888792926,31
2.6119439999999936,1994,3384.375,1.0744202300019035,0.10480892824352722,8.048467375001463,21
46.47495449999995,1994,2133.641025641026,-0.5450145920008528,-0.13277757482609223,4.116727547261102,31
7.349247999999991,1995,4224.6875,1.8137081040022336,0.24829178208679595,9.057611469492846,21
105.06395999999994,1995,2374.225,1.2606576193635393,0.11275747488343012,3.8121205961183744,31
9.503212499999993,1996,4652,0.2930863810827998,0.10114653450699017,8.279475520743704,21
327.06995599999976,1996,1771.3902439024391,2.1130556662817206,-0.2539080146563872,4.255344192331061,31
1.893037499999999,1997,6114.666666666667,-0.8008002557030056,0.3144167383204357,9.507204580199302,21
295.7850000040001,1997,1884.6,-0.09565218517350209,0.0639101160725349,4.853923030518036,31
1.5657149999999966,1998,5762.866666666667,-0.17290861908440935,-0.05753379851722637,9.633296431684181,21
146.54994499999987,1998,2019.8157894736842,-0.5045389556670651,0.07174773929411242,4.316390578772027,31
3.7260749999999927,1999,7531.8,1.3797913413360674,0.3069537151649064,8.398145864008546,21
241.99929000000012,1999,2185.641025641026,0.6513093198363014,0.08209918797127128,5.1483030415042865,31
1.4717249999999955,2000,9444.866666666667,-0.605020027777219,0.25399860148525805,9.276472261146676,21
377.64703200000116,2000,1957.1666666666667,0.5605295040328367,-0.10453425621773821,4.934888012991438,31
4.738615999999994,2001,9169.9375,2.2197699977917127,-0.029108845722191256,8.033110493649835,21
264.7732524999994,2001,2068.5348837209303,-0.29888697629166733,0.056902776319984805,4.888711371165767,31
3.763199999999979,2001,2443.155591836732,0,0,13.861207064478855,77
0.11339999999999992,2001,39532.6,0,0,13.520031386924089,87
8.153360000000005,2002,9217.6875,0.7206205356163097,0.005207232873724603,8.951340992478206,21
134.63425800000005,2002,2496.2727272727275,-0.4915111072256084,0.20678299743360964,5.221294643777521,31
5.530967000000001,2002,99483.83669683259,0,0,49.70525538748261,61
0.9335550000000004,2002,10224.380952380952,0,0,43.954656363520044,67
18.709488000000164,2002,2260.8118703703703,3.9716964285714997,-0.07463451041580131,20.742031653753703,77
,2002,,-1,-1,,87
3.0155449999999884,2003,9861.70588235294,-0.6301469578186187,0.06986767368203148,9.355141213581737,21
165.73809999999975,2003,2831.090909090909,0.23102472180593778,0.13412724425507108,4.462725280672202,31
,2003,,-1,-1,,61
4.119346,2003,9500.695652173914,3.412537022457165,-0.07078035370332261,38.14312052904248,67
17.598110999999985,2003,2552.550156862745,-0.05940178587464119,0.1290413812470746,23.977138364224892,77
1.0560853338999994,2004,12085.70588235294,-0.6497862463004188,0.225518792238546,10.074631583089634,21
65.90222400000002,2004,3716.0625,-0.6023713075026215,0.3125903121186822,5.451736004700672,31
17.846413,2004,7885.652173913043,3.3323413473886383,-0.16999212872283964,40.31199341535892,67
56.18607200000001,2004,4026.800073170732,2.192733129140966,0.5775596269261712,24.23342106954044,77
6.219311999999996,2005,10812.75,4.889024116103199,-0.10532739210637744,8.390481881315855,21
264.5555850000004,2005,2790.948888888889,3.0143650539016633,-0.24894996010188497,5.284259221140529,31
0,2005,8365.863636363636,-1,0.0608968607617778,41.95092648723341,67
0,2005,6962.173434782609,-1,0.728959299759956,23.721763711837085,77
1.2333119999999962,2006,11851.4375,-0.8016963934274407,0.09606136274305796,10.647442165958594,21
65.76010499999987,2006,3541.7934782608695,-0.7514318021295995,0.2690284269845231,3.798634949251178,31
0,2006,8546.04347826087,0,0.021537506434368817,41.95092648723341,67
0,2006,8538.15714893617,0,0.22636375392202096,24.86699963484788,77
3.861199999999998,2007,9629.5625,2.1307568563348203,-0.18747725750568234,8.627225951444835,21
176.24328000000008,2007,3098.7020833333336,1.6800942607983913,-0.12510367915215304,5.1926419917159885,31
0,2007,8374.04347826087,0,-0.020126272518683958,41.95092648723341,67
0,2007,6863.159034482758,0,-0.19617794393279728,23.707461933157553,77
0.625141,2008,9560.941176470587,-0.8380967056873511,-0.007126110197572592,11.437652730707848,21
35.62405600000003,2008,3146.5913043478254,-0.7978699897096788,0.01545460638893573,5.337861681006075,31
0,2008,8304.217391304348,0,-0.008338395559778432,41.95092648723342,67
