Average Microplastic,Cancer cases,Fish BalanaceSheet.Country (Name),Year,Consumption
8.496,254327.31612518404,Albania,2014,536928.72
0.2880000000000001,31974.88920220801,Albania,2015,72367.17000000001
4.464,96421.779364608,Albania,2016,230802.12
5119.8008255999985,32211.968822927985,Albania,2017,74705.4
22.656000000000002,333145.25251891196,Algeria,2014,10936718.719999999
0.768,41637.13590374399,Algeria,2015,1318295.8400000003
11.904000000000002,124540.51720780798,Algeria,2016,3810487.2
13652.8022016,41480.569436927995,Algeria,2017,1277565.8399999999
2.3040000000000003,66345.77161526399,Argentina,2013,1836928.019999999
19.296000000000003,917501.0887566721,Argentina,2014,20552199.359999996
44.928,1249903.1799115206,Argentina,2015,35262005.75999999
9177.3844081056,600162.7450924801,Argentina,2017,17306879.580000002
60.95999999999999,1549548.1089021119,Australia,2014,24593509.280000005
3.408,1692419.6499830883,Australia,2015,26295087.600000024
104.63999999999999,6603145.07846496,Australia,2016,109975356.72
25882.110846719996,2231255.663605248,Australia,2017,38266104.79999998
341.9995200000001,9279642.460216792,Bahamas,1990,5718454.350000001
413.8465200000032,25013462.795059234,Bahamas,1991,19905050
698.7116400000046,36423018.15437179,Bahamas,1992,29501818.700000007
645.1328400000001,33209329.07755166,Bahamas,1993,29392412.350000005
285.9997200000003,29666269.255664233,Bahamas,1994,28610864.55
630.3837600000011,35065502.854685314,Bahamas,1995,30802125.450000007
1914.5558400000073,49123111.696326695,Bahamas,1996,41796943.5
1774.7100000240116,42170028.92470089,Bahamas,1997,45866707.74999999
925.5785999999994,51903278.21320345,Bahamas,1998,58917826
1489.2264000000018,44722686.13998038,Bahamas,1999,46713692.30000001
2157.983040000013,61034740.56015824,Bahamas,2000,79656118.49999999
1477.8042000000057,46919850.61484449,Bahamas,2001,56852002.34999997
734.3686800000005,26321012.94151488,Bahamas,2002,34574443.99999996
904.0260000000003,27822767.089105427,Bahamas,2003,36473589.44999999
395.4133439999999,28683889.981830638,Bahamas,2004,36526721.400000006
1693.1557439999974,36573097.513539754,Bahamas,2005,52576885.50000008
411.71543999999886,25715652.032047067,Bahamas,2006,36382695.24000016
1057.4596800000006,42348001.01207393,Bahamas,2007,44195261.28
223.03756799999994,20200568.44430361,Bahamas,2008,28115220.000000007
388.8000000000001,2275002.3473884794,Bahamas,2013,2382976.6999999997
697.8239999999989,13282577.519997159,Bahamas,2014,14593594.710000006
106.55999999999996,1801152.7452611998,Bahamas,2015,1817743.95
249.36,9315987.617764799,Bahamas,2016,9484502.999999978
158.54399999999998,4309674.993240768,Bahrain,2015,16258269.749999959
1.8720000000000006,16820.94881318401,Bahrain,2016,70910.01
883.3021116480002,527926.3917024011,Bahrain,2017,2368781.2
1.2,71202.82112352,Bangladesh,2015,56352840.90000001
61.056,398192.37037453434,Bangladesh,2016,328392371.99999976
19411.58313504,202010.051611872,Bangladesh,2017,175477463.27999997
136.79980799999987,2114967.464087519,Belize,1990,430043.88000000006
165.53860800000004,5801879.378380797,Belize,1991,1669421.6
279.4846559999999,8572346.188639488,Belize,1992,2204604.1999999993
258.05313599999977,7797101.023024984,Belize,1993,4047036.8399999994
114.399888,7014336.65021933,Belize,1994,7468251.6
252.15350400000003,8453908.65960864,Belize,1995,11341244.819999998
765.8223360000021,12036938.039528115,Belize,1996,19441719.44
709.8840000096084,10954991.596295044,Belize,1997,34449348.02
185.1157199999999,6939162.394630093,Belize,1998,22544297.999999996
297.8452800000005,5824063.910988817,Belize,1999,37488691.529999994
431.5966080000013,7750854.702593874,Belize,2000,30345402.360000003
295.5608400000006,5924671.828875077,Belize,2001,24729007.68
146.87373600000006,3456238.905600768,Belize,2002,37223952.16
180.8052,3713268.1756222052,Belize,2003,21155788.560000002
65.90222399999998,3153515.146872481,Belize,2004,28391005.499999996
282.1926240000005,4009255.8581938376,Belize,2005,50972176.35
68.6192399999998,2710524.66898522,Belize,2006,62367602.59000002
